3E00: すすCJKで黒くなった表意文字（炱の非古典的な形）: toi6 , タイ
3E01: 表意文字（熯の形が崩れている）乾燥。自由に燃える。燃やす;火のそばで乾かすか加熱するためにロースト（方言）する。火に燃やして、日光にさらす（はんだと同じ）。丁寧にはんだ付けする。敬虔な据え置きCJK: hon2 hon3 , は
3E02:
3E03: 表意文字（點と同じ）ドット。スポット斑点、ポイント、少し。ダニ、カウントする。一つずつチェックする、CJKを句読する: dim2 ding2 , じん
3E04: 表意文字（齌と同じ）激怒CJK: zai6 , じい
3E05: 表意文字の灰。キャンドルエンドCJK: zit3 , ジエ
3E06:
3E07:
3E08: 表意文字（焦と同じ）焦げ付きやけどをした、心配して心配しているCJK: ziu1
3E09: 適応するための表意文字（classの非古典的な形式）。合わせる;混ぜる;日中韓を調和させる: 座る3 , xiè
3E0A: 表意の激しい火、残酷。悪意のある、火。炎CJK: lai6 lat6 , ライ
3E0B: いけにえCJKで使用される表意文字（互換J）の肉: faan4 , ファン
3E0C: きらめくための表意文字。一目で明るい光。点滅しているCJK: fok3 , ほら
3E0D: 焼き、焼き、煮るための表意文字。 CJKを加熱する: hei3 , xì
3E0E: 表意文字暖かい、火。炎CJK: ニップ6 , ニエ
3E0F: 表意文字（爢と同じ）調理済みまたは上手くいった。やわらかくて、（交換可能）糜CJK: mei4 , ミ
3E10: 焼けたい表意文字（然の昔の形）。火をつける: zin4 , ラン
3E11: 表意文字（爨と同じ）コンロ。調理する、混乱、演劇の一種CJK: cyun3 seon3 , キュアン
3E12: 不条理な追求や欲望への表意文字。乱暴に願いたい。 （通常は2人以上の正当な分担を求めて）憧れること、欲しいと願うこと。 CJKを織る: zaam4 , 陰
3E13: 姿を消した、しない、全然しない、CJKによる支持をしないという表意文字: mat6 , ミ
3E14:
3E15: つかむための表意文字（攫と同じ）。つかむために。 CJKを奪う: fok3 , ジュー
3E16: 寒い冬の日に野菜を隠したり保管したりするための表意文字CJK: keoi1 , キュー
3E17: 本物の父親でも自然の父親でもない（里親とは異なる）表意文字CJK: tung4 , トング
