4D00: 一種の水鳥CJKの表意文字: tung4 zung1 , トング
4D01: 一種のネズミのような鳥、ハゲタカ、またはコンドルのような鳥CJK: zyu6 , ゆー
4D02: 一種の水鳥CJKの表意文字: zoeng6 , xiàng
4D03: 表意文字が折れました。テイラーバード、ゴールデンオリオールCJK: nau4 , ナオ
4D04: 一種の鳥の表意文字CJK: seon3 , シュン
4D05: 伝説的な鳥の表意文字。カササギのような。白いボディ、赤い尾、6フィートのCJK: fan4 , フェン
4D06: 種の鳥の表意文字、ロットのキャストやCJKの占いに適した種の鳥: buk6 , プー
4D07: 表意文字クレーン。小さな白鳥。 U +9D12鴒の非古典的な形、ワグテールCJK: ling4 , りん
4D08: 表意文字（非古典的な形）水鳥CJKの一種: ou2 , ǎo
4D09: 鳥のグループのための表意文字の一般的な用語（白鷺のように見えます）、円を飛ぶCJK: syun4 , フアン
4D0A: カラスキジCJKの表意文字（鸃と同じ）: faan3 gon1 zi4 zi5 , イー
4D0B: 一種の水鳥を表意文字。深い目をした、鳥CJKのグループの総称: syun4 , フアン
4D0C: 一種の水鳥を表意文字。髪が白くて大きな灰白色の体CJK: mung4 , めん
4D0D: 一種の奇妙で奇妙な鳥の表意文字CJK: ang1 , イェン
4D0E: 表意文字（鸓と同じ）空飛ぶリス。コウモリCJK: leoi5 , レーイ
4D0F: 表意文字（燕と同じ）ツバメCJK: zin3 , やん
4D10: 野生のガチョウに似た鳥、（birdと同じ）鳥の一種の表意文字。オーティス・ディボフスキーCJK: bou2 , よろしく
4D11: 伝説的な奇妙な鳥の表意文字。カササギに似ています。濃い赤色。頭が2本で足が4本（corruptedの形が崩れている）空飛ぶリス。コウモリCJK: ディップ6 , dié
4D12: 表意文字（鴒と同じ）ワグテールCJK: ling4 , りん
4D13: 小鳥のグループのための表意文字総称CJK: si1 , 市
4D14: 釣り鵜の表意文字CJK: gaau1 , ジャオ
4D15: キツツキCJKの表意文字: lit6 , リエ
4D16: 一種の水鳥CJKの表意文字: zing1 , ジーン
4D17: コケCJKの表意文字: gwik1 gwing2 , ジュ
4D18: 一種の鳥の表意文字CJK: taai1 taai2 taai3 , タイ
4D19: アヒルに似た一種の鳥の表意文字。はるかに小さいCJK: ピク1 , ピー
4D1A: 表意文字saltpond;塩味の湿地CJK: ゴング1 , gǎng
4D1B: 塩CJKの煎じ薬を作るための表意文字: siu1 , シャオ
4D1C: 表意ソルトCJK: gwaat3 nei6 waai1 wai4 wun6 , ワイ
4D1D: 表意の塩、醤油。大豆CJK: cai3 zyut3 , チャイ
4D1E: 表意文字の塩味。きらきら塩味の日中韓: dik6 , ディ
4D1F: 1歳の鹿、3歳の鹿の表意文字CJK: wun4 , フアン
4D20: 若い鹿の表意文字CJK: ou2 ziu1 , よ
4D21: 表意文字（麗と同じ）きれい。エレガント;公正です。素晴らしい日中韓: lai6 , Lì
4D22: 表意文字（麋と同じ）一種の鹿。 Alces machlis CJK: mei4 , ミ
4D23: 一種の動物の表意文字CJK: fu1 , フー
4D24: ウサギと同じ大きさの動物、2歳の鹿CJKの表意文字: サング1サング1 , シング
4D25: 表意文字（麚と同じ）スタッグCJK: gaa1 , じゃあ
4D26: 伝説の動物を表意文字。キツネのような動物で、男の目にはCJK: ngaan4 ngai4 , 陰
4D27: 表意文字鹿鹿CJK: wai1 , わいい
4D28:
4D29: 一種の鹿CJKの表意文字: piu4 , ピアオ
4D2A: シングルホーンCJKで、鹿のような素晴らしい生き物を表意文字で描く: luk6 , ルー
4D2B: 表意文字（U + 9EA2と同じ）アンテロープCJK: ling4 , りん
4D2C: 大麦の表意文字パン粉。ぬか;チャフCJK: zik6 zim2 , イー
4D2D: 表意文字蒸留酒の穀物または酵母。醸造用発酵液CJK: co3 coi4 , カイ
4D2E: 表意文字は、パンフレットです。酵母、醸造用発酵剤、オオムギのパン粉CJK: saan3 , シャン
4D2F: 一種のケーキの表意文字CJK: fat1 , フー
4D30: （ographと同じ）オオムギのパン粉の姓の表意文字。ぬか;チャフCJK: suk6 , しゅう
4D31: 表意文字のケーキやビスケットCJK: do2 fo1 to 4 , トゥオ
4D32: 表意粉、米粉CJK: mut6 , モ
4D33: 表意文字蒸留酒の穀物または酵母CJK: ワット6 , ほら
4D34: 一種のケーキ、一種の漢方薬、（黏と同じ）固執する、もちもち。接着剤CJK: tip3 , ネクタイ
4D35: 表意文字（餅と同じ）ケーキ。ビスケット;ペストリーCJK: bing2 , こんにちは
4D36: 小麦を煮たり煮込んだり、CJKを醸造するために発酵を煮るためのIde（（（麷と同じ）: leot6 miu4 pung4 , ペン
4D37: 表意文字は醸造のために発酵するためにオオムギ全体を使うCJK: ワン4 , フーン
4D38: 表意文字（classの非古典的な形）ふすま。 CJKを拒否する: fu1 , ふむ
4D39: 表意文字ケーキビスケット;ペストリー、ジスチラーズグレインまたはイースト、粉砕可能な（交換可能なgrains）グレイン。健康的な穀物、小麦粉、（䴷と同じ）醸造用発酵のために大麦の全部分を使用するCJK: gwo2 , グー
4D3A: 表意文字ケーキクッキー;ビスケット;ペストリー餃子CJK: bou6 , ブー
4D3B: 表意乾物CJK: レイ4 , リ
4D3C: 根絶するための表意文字。平らにする;オオムギCJK: can2 , ちゃん
4D3D: 丸い小片の蒸留酒の穀物またはイーストCJKの表意文字: bei1 bik1 pei4 , ピー
4D3E: 大麦CJKを挽くための表意文字: co4 zi2 , クー
4D3F: 蒸留所からの表意文字、大麦のパン粉、米のパン粉CJK: mung4 , めん
4D40: オオムギ、精製されていない、または玄米の小麦CJKの表意粗いパン粉: so2 , ǒ
4D41: 表意文字が生地を崩壊させた。腐ったラーメンCJK: coeng1 , i
4D42: 小麦を粉にするための表意文字。ふすまと小麦粉を混ぜたもの日中韓: zak6 , ジー
4D43: 一種の大麦、醸造のための発酵のほこりを表意文字。蒸留所CJKからの穀物の小さなパン粉: kwong3 wong4 , クアン
4D44: 小麦を沸騰させたり煮込んだりさせたり、醸造用に発酵させたりするためのIdeograph（麷と同じ）。ラッシュのつるCJK: 菌類1 , ビ
4D45: 加熱することによって抽出し、調理するための表意文字（熬と同じ）。 CJKを煮込むか煮込む: ngou4 , ああ
4D46: 蒸溜所からの表意文字（䴿と同じ）、大麦のパン粉、米のパン粉CJK: mung4 , めん
4D47: 嫌いな表意文字。拒絶する家を憎むこと。ビルCJK: sam1 , シアン
4D48: 表意文字紡ぎ出し用/生麻製/絹製CJK: guk1 huk1 , ク
4D49: Ideograph Abutilon、繊維を含む草が茂った植物、そこから布が作られるCJK: タウ4 , Uへ
4D4A: 人名CJKで使用されている表意文字（䵍と同じ）黄色: teon1 zyun1 , トゥアン
4D4B: 表意文字黄色、緑黄色CJK: fui2 kui2 , ウェイ
4D4C: 表意文字赤黄色CJK: cim1 , シアン
4D4D: 人の名前CJKで使用される表意文字黄色: tan1
4D4E: 表意文字濃い黄色、黄色、明るい。よく照らされた日中韓: caau3 doi6 sou1 teon1 toi5 zyun1 , トゥアン
4D4F: 表意文字黄色。わら色の日中韓: lou5 , ǎ
4D50: 表意文字黄色、（方言）黄色がかった黒。濃い黄色の日中韓: zin2 , ちん
4D51: 表意文字（䵒U + 4D52と同じ）のり、麻、石灰、油でできた一種のセメントCJK: nik1 , ニ
4D52: 表意接着剤、麻、石灰、油でできた一種のセメントCJK: nik1 , ニ
4D53: ほくろCJKの表意文字: laai4 , リ
4D54: 前進しないで、かかとをつけるための表意文字CJK: 糞2 , dǒng
4D55: 固執する、粘着性のある、様々なキビの表意文字。もちCJK: geoi3 , ジュ
4D56: 表意文字のキビ、お粥。お粥粥、水稲または米の熟成。収穫日中韓: gin3 , チアン
4D57: しおれをきれいにするための表意文字。乾燥、腐敗した葉のミレット、穀物、豆またはエンドウ豆、さまざまなキビ、豆およびエンドウ豆を合わせて、貼り付け、付着させ、固着させる。 CJKを接着する: fuk6 , ボ
4D58: 表意文字がくっつかない、粘着しない。 （曬と同じ）太陽の下で乾かす。日光に当たる: sai3 sam2 , シャイ
4D59: 付箋の付箋。追加するパディングクッション材、CJKで貼り付ける: zaa1 , シャー
4D5A: 表意文字（方言）カオリアン;ソルガムCJK: ceoi4 dou3 saam2 tou2 , よ
4D5B: 表意文字（䵖の非古典的な形）のキビ、粥。お粥粥、水稲または米の熟成。収穫日中韓: gin3 hin1 , チアン
4D5C: 種蒔きのための表意文字、一種の果物CJK: nung2 , 名詞
4D5D: 表意文字ダークブラック、ブラックCJK: zi3 , イー
4D5E: 表意文字（黥の古代形）顔を刺青にする古代の罰CJK: 王4 , ジン
4D5F: 表意文字（皯と同じ）、黒、黒モグラまたは黒のバースマークCJK: ゴン2 , じん
4D60: 表意文字は、女性の顔に飾りをつけるために、使用されているフォームメイキングマット、顔用装飾品（女性用）を急がせます: coek3 dik1 zoek3 , ディ
4D61: ひび割れやひび割れするための表意文字（U + 4D64の非古典的な形式）。 （ひびの入った）黒い肌CJK: ガン2 , じん
4D62: 表意文字ブラック、ダークブラックCJK: maa3 maa6 mei6 mui6 , メイ
4D63: 黒と白の表意文字。黒くて美しい、古代の郡の名前CJK: daat3 , ダー
4D64: ひび割れやひび割れする表意文字（ひびの入った）黒い肌CJK: ガン2 , じん
4D65: 黒、濃い表意文字。ディープCJK: ワット1 , ゆー
4D66: 染まる表意文字（非古典的な形の污汚染）。めちゃくちゃに、汚い。不潔な日中韓: ce5 , xiè
4D67: 日中韓を染めるための表意文字: zoi3 , ザイ
4D68: 表意文字が暗い。薄暗い。あいまいで個人的な秘密CJK: mong4 , メーン
4D69: 表意文字（classの非古典的な形）ダークイエロー、ブラックマーク、ライトイエロー。セローCJK: lai4 , リ
4D6A: 純粋な黒の表意文字、省略する、忘れる、何もしないことを疑問に思うCJK: gwan3 , 銃
4D6B: 表意文字（纁と同じ）淡い赤（黦と同じ）黄色がかった黒CJK: fan1 , xūn
4D6C: 流れる水の表意文字黒（濌の崩れた形）CJK: daap6 , タタ
4D6D: 表意文字ブラックCJK: kei4 syu1 ze3 , ゼー
4D6E: 表意文字は赤黒色、ライトグリーン。ライトブルーCJK: soeng1 zoeng6 , ヤン
4D6F: 表意文字（畽と同じ）の村。農場、集落、街の外の土地CJK: teoi3 teon2 , 調子
4D70: 表意文字黒色、赤黒カラーCJK: soeng1 , シャーン
4D71: 表意文字の赤と黒の色、青と黒の色、黒の色CJK: シーク1 , xì
4D72: 生の大麻、うどんこ病の表意文字。そばかす日中韓: ciu1 , チャオ
4D73: 表意文字ブラックCJK: waai3 wui6 , ウエイ
4D74: 黒の表意文字、黒の斑点。顔のまだら、黒い顔、（暈と同じ）かすかに。めまいとめまいCJK: zaan6 , 陰
4D75: 表意文字は黄色がかった黒と白、短くと黒、疲れ過ぎ。疲れた。疲れたCJK: zat3 zyut3 , チュア
