smileys-people: รอยยิ้มและผู้คน
animals-nature: สัตว์และธรรมชาติ
food-drink: อาหารเครื่องดื่ม
activity: กิจกรรม
travel-places: การเดินทางและสถานที่
objects: วัตถุ
symbols: สัญลักษณ์
flags: ธง
unsorted: ไม่ได้เรียงลำดับ
currency: เงินตรา
smileys-and-emotion: รอยยิ้มและอารมณ์
face-smiling: ใบหน้ายิ้มแย้ม
face-affection: ใบหน้าความรัก (ความรัก)
face-tongue: หน้าด้วยลิ้น
face-hand: ใบหน้าด้วยมือ
face-neutral-skeptical: ใบหน้าที่เป็นกลางและไม่เชื่อ
face-sleepy: ใบหน้าง่วงนอน
face-unwell: หน้าตาบูดบึ้ง
face-hat: ใบหน้าด้วยหมวก
face-glasses: ใบหน้าด้วยแว่นตา
face-concerned: ใบหน้าที่กังวล
face-negative: ใบหน้าโกรธ
face-costume: ชุดแฟนซี
cat-face: ใบหน้าของแมว
monkey-face: หน้าลิง
emotion: อารมณ์
people-and-body: คนและร่างกาย
hand-fingers-open: เปิดมือด้วยนิ้ว
hand-fingers-partial: มือบางส่วนด้วยนิ้ว
hand-single-finger: มือเดียวด้วยนิ้วเดียว
hand-fingers-closed: ใช้มือปิดนิ้ว
hands: มือ
hand-prop: คุณสมบัติของมือ
body-parts: ส่วนของร่างกาย
person: คน
person-gesture: เชิง
person-role: บทบาท
person-fantasy: คนแฟนตาซีและเทพนิยาย
person-activity: กิจกรรมบุคคล
person-sport: คนกำลังเล่นกีฬา
person-resting: คนพักผ่อน
family: ครอบครัว
person-symbol: สัญลักษณ์บุคคล
component: ตัวแทน
skin-tone: สีผิว
hair-style: ทรงผม
animals-and-nature: สัตว์และธรรมชาติ
animal-mammal: เลี้ยงลูกด้วยนม
animal-bird: นก
animal-amphibian: สัตว์ครึ่งบกครึ่งน้ำ
animal-reptile: สัตว์เลื้อยคลาน
animal-marine: สัตว์ทะเล
animal-bug: แมลง
plant-flower: ดอกไม้
plant-other: พืชอื่น ๆ
food-and-drink: อาหารเครื่องดื่ม
food-fruit: ผลไม้
food-vegetable: ผัก
food-prepared: เตรียมอาหาร
food-asian: อาหารเอเชีย
food-marine: อาหารทะเล
food-sweet: อาหารหวาน
drink: ดื่ม
dishware: จาน
travel-and-places: การเดินทางและสถานที่
place-map: แผนที่
place-geographic: สถานที่ทางภูมิศาสตร์
place-building: อาคาร
place-religious: สถานที่ทางศาสนา
place-other: สถานที่อื่น ๆ
transport-ground: ขนส่งทางบก
transport-water: การขนส่งทางน้ำ
transport-air: ขนส่งทางอากาศ
hotel: โรงแรม
time: เวลา
sky-and-weather: ท้องฟ้าและอากาศ
activities: กิจกรรม
event: เหตุการณ์
award-medal: เหรียญและรางวัล
sport: กีฬา
game: เกม
arts-and-crafts: ศิลปะและงานฝีมือ
clothing: เสื้อผ้า
sound: เสียง
music: เพลง
musical-instrument: เครื่องดนตรี
phone: โทรศัพท์
computer: คอมพิวเตอร์
light-and-video: แสงและวิดีโอ
book-paper: กระดาษสมุด
money: เงิน
mail: จดหมาย
writing: การเขียน
office: สำนักงาน
lock: ล็อค
tool: เครื่องมือ
science: วิทยาศาสตร์
medical: ทางการแพทย์
household: ครัวเรือน
other-object: วัตถุอื่น ๆ
transport-sign: ป้ายขนส่ง
warning: คำเตือน
arrow: ลูกศร
religion: ศาสนา
zodiac: ราศี
av-symbol: สัญลักษณ์ของอุปกรณ์วิดีโอ
gender: เพศ
math: คณิตศาสตร์
punctuation: วรรคตอน
other-symbol: สัญลักษณ์อื่น ๆ
keycap: ปุ่มกด
alphanum: ตัวอักษรและตัวเลข
geometric: รูปทรงเรขาคณิต
flag: ธง
country-flag: ธงประจำประเทศ
subdivision-flag: ธงแบ่ง
smileys-and-emotion: รอยยิ้มและอารมณ์
people-and-body: People & Body
component: ตัวแทน
animals-and-nature: สัตว์และธรรมชาติ
food-and-drink: อาหารเครื่องดื่ม
travel-and-places: การเดินทางและสถานที่
activities: กิจกรรม
objects: วัตถุ
symbols: สัญลักษณ์
flags: ธง
