smileys-people: スマイリーと人物
animals-nature: 動物と自然
food-drink: 食べ物飲み物
activity: アクティビティ
travel-places: 旅行と場所
objects: オブジェクト
symbols: シンボル
flags: 旗
unsorted: 未分類
currency: 通貨
smileys-and-emotion: スマイリーと感情
face-smiling: 笑顔
face-affection: 好色な顔（愛情）
face-tongue: 舌で顔
face-hand: 手で顔
face-neutral-skeptical: 中立的で懐疑的な顔
face-sleepy: 眠そうな顔
face-unwell: 病弱な顔
face-hat: 帽子をかぶった顔
face-glasses: 眼鏡をかけた顔
face-concerned: 心配そうな顔
face-negative: 怒った顔
face-costume: ファンシーコスチューム
cat-face: 猫顔
monkey-face: 猿の顔
emotion: 感情
people-and-body: 人と体
hand-fingers-open: 指で開いた手
hand-fingers-partial: 指で部分手
hand-single-finger: 1本の指で手
hand-fingers-closed: 指で閉じた手
hands: 手
hand-prop: 手の特性
body-parts: 体の部分
person: 人
person-gesture: ゲスト
person-role: 役割
person-fantasy: ファンタジーとおとぎ話の人
person-activity: 人の活動
person-sport: スポーツをしている人
person-resting: 休息者
family: 家族
person-symbol: 人のシンボル
component: 成分
skin-tone: 肌のトーン
hair-style: 髪型
animals-and-nature: 動物と自然
animal-mammal: 哺乳類
animal-bird: 鳥
animal-amphibian: 両生類
animal-reptile: 爬虫類
animal-marine: 海洋動物
animal-bug: バグ
plant-flower: 花
plant-other: その他の植物
food-and-drink: 食べ物飲み物
food-fruit: フルーツ
food-vegetable: 野菜
food-prepared: 惣菜
food-asian: アジア料理
food-marine: シーフード
food-sweet: 甘い食べ物
drink: ドリンク
dishware: 食器
travel-and-places: 旅行と場所
place-map: 地図
place-geographic: 地理的な場所
place-building: 建物
place-religious: 宗教的な場所
place-other: 他の場所
transport-ground: 地上輸送
transport-water: 水輸送
transport-air: 空輸
hotel: ホテル
time: 時間
sky-and-weather: 空と天気
activities: 活動内容
event: イベント
award-medal: メダルと賞
sport: スポーツ
game: ゲーム
arts-and-crafts: アート＆クラフト
clothing: 衣類
sound: 音
music: 音楽
musical-instrument: 楽器
phone: 電話
computer: コンピューター
light-and-video: 光とビデオ
book-paper: 紙の本
money: お金
mail: 郵便物
writing: 書き込み
office: オフィス
lock: ロック
tool: ツール
science: 理科
medical: 医療
household: 家庭
other-object: その他のオブジェクト
transport-sign: 交通標識
warning: 警告
arrow: 矢
religion: 宗教
zodiac: 干支
av-symbol: AVシンボル
gender: 性別
math: 数学
punctuation: 句読点
other-symbol: その他の記号
keycap: キーキャップ
alphanum: 英数字
geometric: 幾何学的な
flag: 国旗
country-flag: 国旗
subdivision-flag: 区画フラグ
smileys-and-emotion: スマイリーと感情
people-and-body: 人と体
component: 成分
animals-and-nature: 動物と自然
food-and-drink: 食べ物飲み物
travel-and-places: 旅行と場所
activities: 活動内容
objects: オブジェクト
symbols: シンボル
flags: 旗
